ID,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
14427,16,10.0,957.0,0.31,14.1,95,41.6,98,7,8.0,8.0,17.0,70,0
1873,15,63.0,2274.0,0.51,82.0,95,26.3,70,7,6.4,1.5,7.99999999999998,60,0
2976,16,84.0,2460.0,-0.48,29.0,95,26.3,70,6,16.1,1.3,18.0,70,1
3062,16,77.0,2233.0,0.0,25.9,95,26.3,66,6,16.1,1.3,18.0,70,0
11537,16,0.0,911.0,0.0,22.4,104,25.5,75,6,16.1,0.0,12.0,70,2
22522,16,91.0,2622.0,-0.79,27.1,95,26.3,59,6,16.1,4.7,8.99999999999999,70,1
15560,16,58.0,2800.0,0.0,17.6,91,24.3,92,7,8.0,24.0,69.0,90,4
21668,16,94.0,2741.0,0.51,60.4,91,89.0,97,7,8.0,8.0,12.0,90,0
17891,19,76.0,2757.0,-0.54,74.9,94,90.2,81,7,6.4,0.0,0.999999999999988,80,0
20074,20,34.0,2605.0,1.08,83.5,94,90.6,84,7,8.0,0.0,2.99999999999999,70,0
173,15,79.0,2266.0,-0.53,38.8,91,59.2,59,9,16.1,2.4,40.0,90,2
4000,16,70.0,2389.0,0.0,45.9,95,26.3,70,6,16.1,4.7,3.99999999999998,80,0
12232,15,87.0,2451.0,0.67,56.1,91,90.2,105,18,3.2,0.0,11.0,90,0
22541,15,87.0,2504.0,0.26,56.9,94,89.8,102,18,3.2,8.0,73.0,90,7
16358,16,3.99999999999999,1629.0,0.27,18.4,94,40.4,92,7,8.0,8.0,7.99999999999998,70,1
3267,16,69.0,2482.0,0.17,78.8,95,26.3,66,6,16.1,1.3,12.0,80,2
22346,15,80.0,2879.0,0.53,63.1,92,90.2,109,18,3.2,0.0,25.0,60,1
6695,14,9.0,2482.0,0.59,34.5,103,55.7,71,5,16.1,0.0,132.0,70,10
5034,16,87.0,2508.0,-0.26,27.5,95,26.3,63,6,16.1,4.7,56.0,90,2
8593,15,23.0,1902.0,0.0,25.1,101,19.2,79,7,16.1,0.0,121.0,70,1
10886,16,73.0,2650.0,0.33,34.9,96,44.7,73,5,16.1,0.0,6.99999999999999,90,0
19665,19,91.0,2599.0,0.23,31.4,94,82.0,84,7,6.4,4.8,28.0,90,1
19251,19,64.0,1852.0,0.26,83.9,94,92.2,81,7,6.4,4.8,13.0,70,0
437,15,81.0,2321.0,0.0,82.0,95,79.6,70,7,8.0,0.0,2.99999999999999,70,0
10149,15,28.0,2373.0,-0.53,28.2,99,18.4,72,5,16.1,0.0,37.0,70,1
20242,20,100.0,2864.0,0.0,84.7,94,92.2,79,7,8.0,0.0,6.99999999999999,80,0
17964,19,73.0,2616.0,0.35,17.3,91,23.5,85,7,6.4,0.0,6.99999999999999,70,0
