Unnamed: 0,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
21734,20,103.0,2967.0,-1.19,17.6,88,22.4,80,7,8.0,0.0,9.99999999999998,90,0
3727,16,10.0,1541.0,0.39,30.2,95,26.3,65,6,16.1,4.7,47.0,70,2
718,15,80.0,2315.0,0.0,26.7,96,18.4,66,7,8.0,0.0,1.99999999999998,90,1
8015,15,0.0,907.0,-0.18,21.6,93,23.5,68,7,16.1,0.0,26.0,70,3
19929,19,117.0,3338.0,-0.23,18.8,91,26.3,84,7,5.6,9.6,1.99999999999998,90,0
17914,19,61.0,2273.0,-0.22,17.6,94,29.4,81,7,6.4,0.0,2.99999999999999,90,0
2591,16,62.0,2248.0,0.0,26.7,95,26.3,71,6,16.1,4.7,8.99999999999999,60,0
5071,16,103.0,2953.0,0.0,28.2,95,26.3,69,6,16.1,4.7,5.99999999999998,70,0
9937,15,61.0,2194.0,0.34,82.0,103,71.4,72,5,16.1,0.0,36.0,70,1
15440,16,40.0,2699.0,0.5,54.1,91,89.4,104,7,8.0,24.0,87.0,70,2
12787,15,102.0,2915.0,-0.19,63.9,94,90.2,100,7,8.0,0.0,5.99999999999998,90,0
9601,15,0.0,900.0,0.0,22.0,103,24.3,71,5,16.1,0.0,100.0,70,5
4546,16,74.0,2134.0,-0.26,25.9,95,26.3,65,6,16.1,4.7,63.0,50,1
22567,15,66.0,2363.0,0.49,26.7,83,17.6,66,9,8.0,2.4,5.99999999999998,90,0
20152,20,98.0,2768.0,-0.65,17.6,94,24.7,84,7,8.0,0.0,12.0,90,1
18260,19,37.0,2817.0,0.0,21.6,92,29.0,85,18,3.2,8.8,93.0,50,9
13923,16,61.0,2192.0,0.13,51.4,94,92.2,105,7,8.0,24.0,35.0,60,1
9199,15,22.0,1848.0,0.55,33.7,96,46.3,74,5,16.1,0.0,58.0,70,1
19777,19,75.0,2179.0,0.0,85.5,95,94.1,81,7,5.6,9.6,70.0,50,4
526,15,66.0,2392.0,0.24,26.3,96,17.6,72,7,8.0,0.0,56.0,90,3
11502,16,10.0,1546.0,-0.32,29.8,105,36.1,74,6,16.1,0.0,8.99999999999999,70,1
9389,15,0.0,896.0,0.0,22.4,99,24.7,70,5,16.1,0.0,52.0,70,4
5768,14,77.0,2769.0,0.0,82.0,90,81.6,75,5,16.1,0.0,17.0,90,1
9928,15,38.0,1999.0,0.76,41.2,105,68.6,71,5,16.1,0.0,38.0,70,1
8568,15,12.0,1136.0,-1.13,24.7,103,29.0,75,7,16.1,0.0,83.0,70,0
15542,16,49.0,2361.0,0.37,16.5,91,22.7,101,7,8.0,24.0,33.0,90,1
5440,14,12.0,1098.0,-0.78,24.7,102,27.1,73,7,16.1,0.0,8.99999999999999,70,0
20216,20,92.0,2675.0,-0.75,58.4,91,23.9,81,7,8.0,0.0,2.99999999999999,90,0
15032,16,111.0,3193.0,0.13,23.9,92,80.4,93,7,8.0,8.0,4.99999999999999,90,0
7783,15,32.0,2626.0,0.94,82.0,100,76.9,73,5,16.1,0.0,18.0,70,1
589,15,87.0,2521.0,-0.14,32.9,84,40.0,61,7,8.0,0.0,17.0,90,1
3219,16,72.0,2608.0,-0.2,82.0,95,26.3,67,6,16.1,1.3,9.99999999999998,70,1
12322,15,93.0,2667.0,-0.26,17.3,91,25.5,98,18,3.2,0.0,5.99999999999998,80,0
6555,14,43.0,2203.0,-0.25,26.3,99,17.6,78,5,16.1,0.0,75.0,70,5
16152,16,36.0,1717.0,-0.560000000000001,15.3,91,22.4,100,7,8.0,8.0,27.0,70,1
8228,15,17.0,1438.0,0.49,25.5,99,47.1,79,7,16.1,0.0,67.0,70,1
18231,19,75.0,2717.0,-0.9,17.3,94,23.9,84,18,3.2,8.8,3.99999999999998,60,1
10787,15,0.0,0.0,0.0,27.8,89,0.0,73,5,16.1,0.0,127.0,50,4
21240,15,87.0,2490.0,0.54,31.0,91,77.3,109,18,3.2,8.0,12.0,60,2
18390,19,66.0,2442.0,-0.23,79.2,94,91.8,85,35,8.0,0.0,7.99999999999998,80,0
18064,19,43.0,1581.0,-0.25,80.4,94,93.7,92,7,6.4,0.0,2.99999999999999,70,0
20380,20,104.0,2975.0,0.0,76.1,91,90.2,76,7,8.0,0.0,16.0,70,2
23048,20,112.0,3229.0,-0.47,17.6,93,21.6,80,7,8.0,0.0,0.999999999999988,90,0
21755,15,64.0,1856.0,0.0,19.2,91,46.7,92,18,3.2,8.0,9.99999999999998,80,3
11296,16,93.0,2684.0,0.0,27.8,92,17.6,76,6,16.1,0.0,9.99999999999998,90,1
22578,15,71.0,2553.0,0.26,29.8,93,60.8,73,7,16.1,0.0,11.0,70,1
4595,16,58.0,2103.0,-0.25,70.6,95,26.3,62,6,16.1,4.7,13.0,70,0
