,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
0,15.0,0.0,890.9999999999999,0.0,21.599999999999994,109.0,24.7,73.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1
1,15.0,0.0,887.9999999999998,0.0,21.2,105.0,23.1,85.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,2
2,15.0,0.0,889.9999999999999,0.0,21.2,101.0,23.1,82.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1
3,15.0,0.0,901.9999999999998,0.0,21.2,102.0,23.5,72.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1
4,15.0,0.0,890.9999999999999,0.0,20.39999999999999,102.0,21.999999999999996,68.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1
5,15.0,58.00000000000001,2085.0,0.2300000000000003,49.79999999999998,105.0,74.1,69.0,8.999999999999998,16.1,2.3999999999999977,11.99999999999998,70.0,0.0,1
6,15.0,80.0,2867.0,0.19,34.9,104.0,43.9,69.0,8.999999999999998,16.1,2.3999999999999977,23.999999999999982,70.0,1.0,1
7,15.0,81.0,2944.0,0.2499999999999997,80.0,104.0,81.6,68.0,8.999999999999998,16.1,2.3999999999999977,23.999999999999982,70.0,1.0,2
8,15.0,100.0,2859.0,-0.2300000000000003,36.9,99.0,33.7,67.0,8.999999999999998,16.1,2.3999999999999977,17.999999999999982,70.0,0.0,2
9,15.0,97.0,2766.0,-0.3899999999999998,82.00000000000001,97.0,82.0,66.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,90.0,0.0,1
10,15.0,78.0,2248.0,-0.24,76.5,91.0,81.2,59.0,8.999999999999998,16.1,2.3999999999999977,40.99999999999999,90.0,2.0,2
11,15.0,79.0,2276.0,-0.24,82.00000000000001,90.0,81.6,64.0,8.999999999999998,16.1,2.3999999999999977,38.0,90.0,2.0,1
12,15.0,79.0,2840.0,0.1699999999999999,82.00000000000001,90.0,83.9,65.0,8.999999999999998,16.1,2.3999999999999977,31.999999999999996,70.0,2.0,1
13,15.0,82.0,3008.0,0.0,82.00000000000001,89.0,85.1,61.0,8.999999999999998,16.1,2.3999999999999977,16.999999999999996,90.0,2.0,1
